,game_pk,at_bat_number,runner_id,pitcher_id,catcher_id,successful_sb,runner_sprint_speed,pitch_tempo,sb_att_rate,lead_dist_gained_opp,lead_dist_gained_att,pop_time,exchange_time,arm_strength,cs_aa_per_throw
1273,716756,69,656775,623149,672515,1,28.0,14.757,0.02525252525252525,5.022860825,12.1004,1.896612903,0.607709677,79.457731935,0.2787784742048348
1274,718215,19,642731,674072,672515,1,28.0,17.230999999999998,0.00906344410876133,1.69871885,9.585,1.896612903,0.607709677,79.457731935,0.2787784742048348
1275,718611,15,686894,518876,672515,1,28.9,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1276,716558,56,664023,657044,672515,0,27.7,16.072,0.06349206349206349,4.765177419,15.638,1.896612903,0.607709677,79.457731935,0.2787784742048348
1277,718236,72,542932,543518,672515,0,29.3,16.605,0.009174311926605505,3.214767773,7.721,1.896612903,0.607709677,79.457731935,0.2787784742048348
1278,717568,3,677551,694297,672515,0,27.5,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1279,716792,18,621035,518876,672515,1,28.3,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1280,717919,2,660670,518876,672515,0,28.0,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1281,716471,24,664314,518876,672515,1,29.3,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
1282,716489,63,647304,672335,668939,1,25.8,16.208,0.02030456852791878,1.986165775,10.87375,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1283,717589,45,668715,657508,668939,1,28.4,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1284,718213,53,678225,641329,668939,0,29.7,16.785,0.03184713375796178,4.039972789,9.4406,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1285,717219,61,683011,641329,668939,1,28.4,16.785,0.03184713375796178,4.039972789,9.4406,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1286,717769,22,662139,680694,668939,1,28.1,17.21,0.0072072072072072065,2.9879980839999996,7.11575,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1287,717769,51,595281,543056,668939,1,28.8,17.194000000000003,0.045977011494252866,1.8810251569999998,11.070875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1288,718227,3,677551,665152,668939,1,27.5,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1289,718688,22,518934,665152,668939,0,25.6,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1290,718495,59,595879,642585,668939,1,28.1,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1291,718405,33,656716,502043,668939,1,28.5,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1292,718748,75,807799,657508,668939,1,26.2,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1293,716530,52,676801,660261,668939,1,28.2,17.923,0.012096774193548387,3.6177899160000004,8.765,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1294,718102,77,595281,642585,668939,1,28.8,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1295,718246,70,666139,642585,668939,1,28.8,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1296,716652,69,678882,607216,668939,1,28.7,13.915,0.08333333333333333,3.7617,6.098,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1297,717589,53,670770,657508,668939,1,28.3,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1298,717589,78,682829,642585,668939,1,30.5,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
